Company Name,Website,City,Address,Company Stage,Focus Areas
Innovative Genomics Institute,https://innovativegenomics.org,Berkeley,"2151 Berkeley Way, Berkeley, CA 94720",Academic/Gov't,"CRISPR/Genomics Research Institute.
CRISPR/genomics institute; comp bio + translational"
Innovex Biosciences,https://innovexbio.com/,Richmond,"1099 Essex Ave, Richmond, CA 94801, USA",Unknown,Research products
Inquis Medical,https://www.iscienceinterventional.com/,Menlo Park,"4055 Campbell Ave, Menlo Park, CA 94025, USA",Pre-clinical/Startup,Venous thromboembolism treatment
Insamo,http://www.aduro.com/,Berkeley,"626 Bancroft Way #3c, Berkeley, CA 94710, USA",Unknown,Membrane-permeable & orally available cyclic-peptides
Inscopix,https://www.inscopix.com/,Mountain View,"1212 Terra Bella Ave Suite 200, Mountain View, CA 94043, USA",Tools/Services/CDMO,Miniature Microscope
InsightRX,https://www.insight-rx.com/,San Francisco,"548 Market St #88083, San Francisco, CA 94104, USA",Unknown,Dosing Model
Intact Therapeutics,http://www.gatorbio.com/,Palo Alto,"2455 Faber Pl, Palo Alto, CA 94303, USA",Unknown,GI Therapies
Integrated Biosciences,http://www.iovance.com/,San Carlos,"825 Industrial Rd, San Carlos, CA 94070, USA",Pre-clinical/Startup,Synthetic biology technology to discover drugs targeting stressed cells
Integrated Research Associates,http://www.integratedresearchassociates.com/contact.html,San Rafael,"4050 Redwood Hwy, San Rafael, CA 94903, USA",Pre-clinical/Startup,Infectious Disease Treatment Products
InterVene,http://adverum.com/,Redwood City,"100 Cardinal Way, Redwood City, CA 94063, USA",Pre-clinical/Startup,Catheter based therapy
InterVenn BioSciences,http://www.enablebiosciences.com/,South San Francisco,"510 Myrtle Ave # 101, South San Francisco, CA 94080, USA",Unknown,Cancer Diagnostic
Interdict,http://distributedbio.com/,San Francisco,"201 Gateway Blvd, South San Francisco, CA 94080, USA",Unknown,Small Molecules
International Process Solutions,https://ips-us.com/,San Carlos,"1300 Industrial Rd STE 22, San Carlos, CA 94070, USA",Tools/Services/CDMO,"Calibration, validation, preventative maintenance, and data management services"
Intraop Medical,https://intraop.com/,Sunnyvale,"570 Del Rey Ave, Sunnyvale, CA 94085, USA",Pre-clinical/Startup,Radiation therapy during surgery
Intuitive Surgical,http://www.intuitive.com/,Sunnyvale,"1020 Kifer Rd, Sunnyvale, CA 94086, USA",Unknown,Medical Devices
Invenio Imaging,http://www.invenio-imaging.com/,Santa Clara,"2310 Walsh Ave, Santa Clara, CA 95051, USA",Unknown,"Histology, Cavity Sampling"
Invert,https://invertbio.com/,San Francisco,"2261 Market St #4579, San Francisco, CA 94114, USA",Unknown,Software product for bioprocess development and scale-up
Invicta Medical,https://resterasleep.com/,Santa Clara,"3930 Freedom Cir Ste 120, Santa Clara, CA 95054, USA",Unknown,Neurostimulation wearables for sleep apnea
Iolyx Therapeutics,http://cytomx.com/,Burlingame,"151 Oyster Point Blvd #400, South San Francisco, CA 94080, USA",Unknown,Ophthalmology Therapies
Iovance Biotherapeutics,http://www.iovance.com/,San Carlos,"825 Industrial Rd, San Carlos, CA 94070, USA",Pre-clinical/Startup,Adoptive Cell Therapy
Iris Medicine,https://insyte.bio/,Berkeley,"2000 Hearst Ave Ste 301, Berkeley, CA 94709, USA",Unknown,Small Binding RNA
Ironfist Therapeutics,http://www.eurekatherapeutics.com/,Redwood City,"5858 Horton St #370, Emeryville, CA 94608, USA",Unknown,Radiopharmaceuticals
Isolation Bio,http://www.systembio.com/,Palo Alto,"2438 Embarcadero Way, Palo Alto, CA 94303, USA",Tools/Services/CDMO,Microbial Cultivation Device
JOINN Biologics,http://www.joinnbio.com/,Richmond,"2600 Hilltop Dr Building L, Richmond, CA 94806, USA",Tools/Services/CDMO,Biologics CDMO
JSR Life Sciences,http://www.jsrlifesciences.com/,Sunnyvale,"1280 N Mathilda Ave, Sunnyvale, CA 94089, USA",Tools/Services/CDMO,"Cell culture, separations equipment & reagents"
Jade Biosciences,https://jadebiotech.com/contact-us,San Francisco,"3860 Bay Center Pl, Hayward, CA 94545, USA",Unknown,Autoimmune Therapies
Jasper Therapeutics,https://jaspertx.com/,Redwood City,"2200 Bridge Pkwy #102, Redwood City, CA 94065, USA",Unknown,Humanized Monoclonal Antibody
Jaya Biosciences,https://jnjinnovation.com/jlabs/locations/jlabs-ssf,South San Francisco,"329 Oyster Point Blvd 3rd Floor, South San Francisco, CA 94080, USA",Unknown,CNS-directed gene therapies
Jazz Pharmaceuticals,http://www.jazzpharmaceuticals.com/,Palo Alto,"3000 El Camino Real, 2 Palo Alto Square Suite 600, Palo Alto, CA 94306, USA",Unknown,Small Molecules
Johnson and Johnson Innovative Medicine,https://jnjinnovation.com/jlabs/locations/jlabs-ssf,South San Francisco,"329 Oyster Point Blvd 3rd Floor, South San Francisco, CA 94080, USA",Unknown,"Small Molecules, Biologics"
Joint BioEnergy Institute,https://www.jbei.org,Emeryville,"5885 Hollis St, Emeryville, CA 94608",Academic/Gov't,"Synthetic Biology & Biofuels & Process Scale-up. Synbio/enzymes;
high-throughput strain/protein work"
Joint Genome Institute,https://jgi.doe.gov,Berkeley,"1 Cyclotron Road, Berkeley, CA 94720",Academic/Gov't,"Large-scale genomics;
comp biology & sequencing"
Junevity,http://cytomx.com/,San Francisco,"151 Oyster Point Blvd #400, South San Francisco, CA 94080, USA",Unknown,Long-lasting siRNA Therapies
Jupiter Endovascular,https://jupiterendo.com/,Menlo Park,"155 Jefferson Dr, Menlo Park, CA 94025, USA",Unknown,Endovascular Device for Pulmonary Embolism
Juvena Therapeutics,https://www.juvenatherapeutics.com/,Redwood City,"640 Galveston Dr, Redwood City, CA 94063, USA",Unknown,Tissue Regeneration & Repair
KHN Solutions/BACTrack,http://breathalyzer.net/,San Francisco,"300 Broadway #26, San Francisco, CA 94133, USA",Unknown,BAC meter
Kainomyx,https://www.kainomyx.com/,Mountain View,"319 N Bernardo Ave, Mountain View, CA 94043, USA",Unknown,Malaria and parasitic diseases
Kamau Therapeutics,https://www.quantatx.com/,South San Francisco,"Tower Pl, South San Francisco, CA 94080, USA",Unknown,Gene Correction Technology
Kardigan,https://www.kardigan.bio/,South San Francisco,"131 Oyster Point Blvd Second Floor, South San Francisco, CA 94080, USA",Unknown,Seems to be Small Molecules
Karius,https://www.kariusdx.com/,Redwood City,"975 Island Dr, Redwood City, CA 94065, USA",Unknown,Diagnostics
Kartos Therapeutics,,Redwood City,"835 Industrial Rd #400, San Carlos, CA 94070, USA",Unknown,Oral MDM2 Inhibitor
Kelliop,http://www.reechpharma.com/,Newark,"8024 Central Ave, Newark, CA 94560, USA",Unknown,Diagnostic Reader
Kerna Labs,https://xnalabs.com/,San Francisco,"4677 Old Ironsides Dr Suite 100, Santa Clara, CA 95054, USA",Pre-clinical/Startup,AI and high-throughput biology - RNA therapeutics
Keylika,http://www.eurekatherapeutics.com/,San Francisco,"5858 Horton St #370, Emeryville, CA 94608, USA",Unknown,Transdermal Iron Patch
Kezar Life Sciences,http://www.kezarlifesciences.com/,South San Francisco,"4000 Shoreline Ct #300, South San Francisco, CA 94080, USA",Unknown,Therapies for autoimmune disorders
Khloris Biosciences,http://www.khlorisbiosciences.com/,San Jose,"319 N Bernardo Ave, Mountain View, CA 94043, USA",Unknown,iPSC Library
Kimia Therapeutics,https://www.kimiatx.com,Berkeley,"740 Heinz Avenue, Berkeley, CA 94710",Pre-clinical/Startup,ATLAS platform merges ML with automated chemical synthesis and screening to map structure-to-protein function.
Kivu Bioscience,,San Francisco,,,ADCs
KlyneAI,https://trilo.bio/#/,San Francisco,"544b Bryant St, San Francisco, CA 94107, USA",Tools/Services/CDMO,CRO for in silico hit discovery
Kodiak Sciences,https://kodiak.com/,Palo Alto,"1250 Page Mill Rd, Palo Alto, CA 94304, USA",Pre-clinical/Startup,Long acting retinal medicines
Koya Medical,https://www.koyamedical.com/,Oakland,"2332 Valdina St, Dallas, TX 75207, USA",Pre-clinical/Startup,Active continuous sequential compression treatment
Kriya Therapeutics,https://kriyatherapeutics.com/,Redwood City,"380 Portage Ave, Palo Alto, CA 94306, USA",Pre-clinical/Startup,Gene Therapy
Kryptos Biotechnologies,http://www.kryptosbio.com/,Hayward,"4030 Point Eden Way Suite A, Hayward, CA 94545, USA",Unknown,Diagnostics
KuriBio,https://trilo.bio/#/,San Francisco,"544b Bryant St, San Francisco, CA 94107, USA",Unknown,Nanoparticles to treat B-cell lymphoma
Kyverna Therapeutics,https://www.kyvernatx.com,Emeryville,"5980 Horton Street, Suite 550, Emeryville, CA 94608",Clinical-Stage Biotech,"Autoimmune cell therapy (CAR-Treg). Gene & protein engineering;
translational cell therapy."
LGC Biosearch Technologies,https://www.biosearchtech.com/,Novato,"51 Digital Dr, Novato, CA 94949, USA",Tools/Services/CDMO,"Reagents, Probes, Oligonucleotides"
LIPAC Oncology,https://www.pacb.com/,Menlo Park,"1305 O'Brien Dr, Menlo Park, CA 94025, USA",Unknown,Intravesical delivery
LTZ Therapeutics,,Redwood City,"3 Lagoon Dr #130, Redwood City, CA 94065, USA",Unknown,Immunotherapies
Laguna Biotherapeutics,http://www.neuronatherapeutics.com/,San Francisco,"170 Harbor Wy, South San Francisco, CA 94080, USA",Tools/Services/CDMO,Microbe to Activate Immune Cells
LatchBio,http://latch.bio/,San Francisco,"185 Berry St, San Francisco, CA 94107, USA",Unknown,Cloud bioinformatics platform to help biological teams accelerate their R&D.
Latent Labs,https://jnjinnovation.com/jlabs/locations/jlabs-ssf,San Francisco,"329 Oyster Point Blvd 3rd Floor, South San Francisco, CA 94080, USA",Unknown,AI models to design and optimize proteins
Laza Medical,http://shifamed.com/,Campbell,"590 Division St, Campbell, CA 95008, USA",Unknown,AI-Powered Robotically-Assisted Imaging
Leaf Healthcare,http://www.leafhealthcare.com/,Pleasanton,"5994 W Las Positas Blvd, Pleasanton, CA 94588, USA",Unknown,"Wireless, wearable Patient Sensor"
Leapfrog Bio,http://distributedbio.com/,San Mateo,"201 Gateway Blvd, South San Francisco, CA 94080, USA",Pre-clinical/Startup,Small Molecule Drug Screening
Level Zero Health,https://www.biohackr.health/?utm_source=googlemybusiness&utm_medium=organic&utm_campaign=san+francisco,San Francisco,"1877 Union St, San Francisco, CA 94123, USA",Unknown,Continuous Hormone Monitoring
Levita Magnetics,https://www.levita.com/,Mountain View,"453 Ravendale Dr Suite G, Mountain View, CA 94043, USA",Unknown,Magnetic Surgical System
LevitasBio,http://levitasbio.com/,Menlo Park,"1505 Adams Dr # D, Menlo Park, CA 94025, USA",Unknown,Cellular Analysis using Magnetic Levitation
LiVeritas Biosciences,https://liveritas.bio/,South San Francisco,"432 N Canal St STE 20, South San Francisco, CA 94080, USA",Unknown,Mass Spec Analysis
LifeActive Bio,https://trilo.bio/#/,San Francisco,"544b Bryant St, San Francisco, CA 94107, USA",Pre-clinical/Startup,Biomaterials for Drug Delivery
LifeScience PLUS,http://www.lifescienceplus.com/,Mountain View,"2520 Wyandotte St A, Mountain View, CA 94043, USA",Unknown,Wound care
LifeSpan Biosciences,https://vectorlabs.com/,Newark,"6737 Mowry Ave, Newark, CA 94560, USA",Tools/Services/CDMO,Immuno histochemistry Products and Services
Lighthouse Pharmaceuticals,http://www.lighthouselifesciences.com/,San Francisco,"100 Tradecenter Dr, Woburn, MA 01801, USA",Unknown,Small molecule protease inhibitors
LimFlow,http://www.limflow.com/,San Jose,"Plaza West, 3031 Tisch Way #110, San Jose, CA 95128, USA",Pre-clinical/Startup,Critical Limb Ischemia Treatment
LinaTech,http://www.linatech.com/,Sunnyvale,"1294 Kifer Rd STE 705, Sunnyvale, CA 94086, USA",Pre-clinical/Startup,Cancer treatment device
Link Cell Therapies,https://linkcelltx.com/,South San Francisco,"220 E Grand Ave. 2nd floor, South San Francisco, CA 94080, USA",Unknown,"Cell Therapies focused on CAR T, oncology"
List Biological Laboratories,https://listlabs.com/,Campbell,"540 Division St, Campbell, CA 95008, USA",Tools/Services/CDMO,"Bacterial Toxins, Contract Manufacturing"
Lonza,https://www.lonza.com,Hayward,"21075 Alexander Court, Hayward, CA 94545",Tools/Services/CDMO,"CDMO; biologics & CGT manufacturing. CDMO;
biologics/cell & gene therapy manufacturing"
Lumenis,http://www.lumenis.com/,San Jose,"2077 Gateway Pl # 300, San Jose, CA 95110, USA",Pre-clinical/Startup,Energy-based medical treatments
LumiQuick Diagnostics,http://www.lumiquick.com/,Santa Clara,"2946 Scott Blvd, Santa Clara, CA 95054, USA",Unknown,Diagnostics
Luminary Genetics,https://nextgengenetics.com/,Santa Clara,"2338B Walsh Ave, Santa Clara, CA 95051, USA",Unknown,Genetic Testing
Luminyst,http://www.skylinestudios.com/,Oakland,"5427 Telegraph Ave Suite M, Oakland, CA 94609, USA",Unknown,"product lifecycle management, quality and product development program consulting"
Lumiphore,https://lumiphore.com/about-us.html,Berkeley,"1456 Fourth St C, Berkeley, CA 94710, USA",Unknown,Chelation for Radiotheranostics
Lusis,http://lusisbio.com/,Hayward,"3500 Breakwater Ct, Hayward, CA 94545, USA",Unknown,Diagnostics
Lusis Biosciences,http://lusisbio.com/,Hayward,"3500 Breakwater Ct, Hayward, CA 94545, USA",Unknown,Benchtop Diagnostics
Lycia Therapeutics,https://lyciatx.com/,South San Francisco,"400 E Jamie Ct #200, South San Francisco, CA 94080, USA",Unknown,Lysosomal Targeting Chimeras Targeting Protein Degradation
Lyell Immunopharma,http://lyell.com/,South San Francisco,"201 Haskins Way, South San Francisco, CA 94080, USA",Unknown,Curative cell-based immunotherapies
Lygos,https://www.lygos.com,Berkeley,"1249 8th Street, Berkeley, CA 94710",Commercial-Stage Biotech,"Industrial biotech; enzyme engineering. Metabolic pathway & enzyme optimization;
fermentation."
Lykos Therapeutics,http://www.oxfordbiotherapeutics.com/,San Jose,"5941 Optical Ct, San Jose, CA 95138, USA",Unknown,Psychedelics
Lyterian Therapeutics,https://lyciatx.com/,South San Francisco,"400 E Jamie Ct #200, South San Francisco, CA 94080, USA",Pre-clinical/Startup,Therapeutics
MCLAB,http://www.mclab.com/,San Francisco,"320 Harbor Wy, South San Francisco, CA 94080, USA",Tools/Services/CDMO,"Molecular biology reagents, enzymes, PCR/qPCR kits, cloning kits, protein purification solutions and genomic services"
MEDIC Life Sciences,https://www.medic-life-sciences.com,Palo Alto,"950 Page Mill Road, Palo Alto, CA 94304",Pre-clinical/Startup,CRISPR functional genomics in 3D tumor models for novel cancer drug target discovery. Strong comp bio and functional genomics fit.
Machaon Diagnostics,http://www.machaondiagnostics.com/,Berkeley,"2023 Eighth St, Berkeley, CA 94710, USA",Unknown,Clinical reference lab
MagQu,https://www.magqu.com/,Milpitas,"517 Fairview Way, Milpitas, CA 95035, USA",Unknown,Alzheimer's Diagnostic
Magic Lifescience,https://magic-lifescience.com/contact-us/,Mountain View,"319 N Bernardo Ave, Mountain View, CA 94043, USA",Unknown,POC Molecular Diagnostics
Magnetic Insight,https://www.magneticinsight.com/,Alameda,"2020 N Loop Rd, Alameda, CA 94502, USA",Unknown,Magnetic Particle Imaging
Magnus Medical,https://www.magnusmed.com/,Burlingame,"1350 Old Bayshore Hwy # 600, Burlingame, CA 94010, USA",Pre-clinical/Startup,Device for Depression Treatment
Mahzi Therapeutics,http://www.mazetx.com/,San Mateo,"171 Oyster Point Blvd STE 300, South San Francisco, CA 94080, USA",Pre-clinical/Startup,Gene therapy for rare genetic neurodevelopmental disorders
MakroCare,https://biocare.net/,San Francisco,"60 Berry Dr, Pacheco, CA 94553, USA",Pre-clinical/Startup,Drug Development Partner
Mammoth Biosciences,https://www.mammothbio.com,Brisbane,"1000 Marina Blvd, Suite 600, Brisbane, CA 94005",Clinical-Stage Biotech,"CRISPR diagnostics and therapeutics.
CRISPR-based diagnostics and in vivo gene editing"
MantleBio,http://www.mantle3d.com/,San Francisco,"1950 Cesar Chavez St, San Francisco, CA 94124, USA",Unknown,Data Platform
MarWell Bio,http://missionbio.com/,South San Francisco,"300 Utah Ave Suite 210, South San Francisco, CA 94080, USA",Unknown,Generative AI Antibody Design
Marea Therapeutics,http://www.mazetx.com/,South San Francisco,"171 Oyster Point Blvd STE 300, South San Francisco, CA 94080, USA",Pre-clinical/Startup,Treatments for Cardiometabolic Diseases
Marin Biologic Laboratories,http://www.marinbio.com/,Novato,"378 Bel Marin Keys Blvd, Novato, CA 94949, USA",Tools/Services/CDMO,Contract Services
Materna Medical,http://www.maternamedical.com/,Mountain View,"Materna Medical, 2495 Hospital Dr #300, Mountain View, CA 94040, USA",Unknown,Device to prevent childbirth injuries
Maverix Biomics,http://maverixbio.com/,San Mateo,"1875 S Grant St #700, San Mateo, CA 94402, USA",Unknown,Next Generation Sequencing data analysis
Mawi DNA Technologies,http://mawidna.com/,Pleasanton,"1252 Quarry Ln # A, Pleasanton, CA 94566, USA",Unknown,Non-invasive DNA sampling technology
Maxygen (2),https://www.maxygen.com/,Newark,"5600 Mowry School Rd Suite 330, Newark, CA 94560, USA",Tools/Services/CDMO,Directed evolution services for protein engineering
Maze Therapeutics,http://www.mazetx.com/,South San Francisco,"171 Oyster Point Blvd STE 300, South San Francisco, CA 94080, USA",Pre-clinical/Startup,"Small Molecules, Gene Therapy, Antisense Oligonucleotides, Biologics"
Meadowhawk Biolabs,https://www.meadowhawkbiolabs.com/,Hayward,"26229 Eden Landing Rd, Hayward, CA 94545, USA",Tools/Services/CDMO,Small & Large Molecule CRO
Medable,https://www.medable.com,Palo Alto,"525 University Ave, Suite A70, Palo Alto, CA 94301",Commercial-Stage Biotech,Decentralized clinical trial software platform. Digital health focus.
Medeloop,https://www.mandalmed.com/about,San Francisco,"665 3rd St #250, San Francisco, CA 94107, USA",Unknown,AI Clinical Research Platform
Medeologix,https://www.medeologix.com/,San Jose,"2200 Zanker Rd, San Jose, CA 95131, USA",Tools/Services/CDMO,Contract development and manufacturing partner for minimally invasive devices
Medeor Therapeutics,http://medeortx.com/,South San Francisco,"611 Gateway Blvd Ste 120, South San Francisco, CA 94080, USA",Pre-clinical/Startup,Cellular Immunotherapy
Medical Instrument Development Laboratories,https://www.midlabs.com/,San Leandro,"557 McCormick St, San Leandro, CA 94577, USA",Unknown,Ophthalmic devices
Meditrina,https://www.avetasystem.com/,San Jose,"1190 Saratoga Ave #180, San Jose, CA 95129, USA",Pre-clinical/Startup,Single-use device for treatment of intrauterine pathologies
Medium Biosciences,http://missionbio.com/,San Francisco,"300 Utah Ave Suite 210, South San Francisco, CA 94080, USA",Pre-clinical/Startup,AI-designed Protein Therapeutics
Medrio,http://medrio.com/,San Francisco,"345 California St Suite 600, San Francisco, CA 94104, USA",Clinical-Stage Biotech,Clinical Trial Software
Medtronic,https://www.medtronic.com/,Santa Rosa,"3576 Unocal Pl, Santa Rosa, CA 95403, USA",Unknown,Medical Devices
Meliora Therapeutics,https://www.mavericktx.com/,San Francisco,"3260 Bayshore Blvd, Brisbane, CA 94005, USA",Pre-clinical/Startup,Mechanism-focused Oncology Drugs
Mendaera,http://www.natera.com/,San Mateo,"201 Industrial Rd, San Carlos, CA 94070, USA",Unknown,Medical Robotics
Mercator MedSystems,http://www.mercatormed.com/,San Leandro,"1900 Powell St #800, Emeryville, CA 94608, USA",Unknown,Catheter-guided infusion systems
Merck,http://www.merck.com/,South San Francisco,"213 E Grand Ave., South San Francisco, CA 94080, USA",Unknown,"Small Molecules, Vaccines, Biologics"
Metacrine,,San Ramon,"361 Adelaide Hills Ct, San Ramon, CA 94582, USA",Unknown,Metabolic diseases
Metagenomi,https://www.metagenomi.co,Emeryville,"1545 Park Avenue, Emeryville, CA 94608",Pre-clinical/Startup,"Next-generation gene editing systems.
Novel CRISPR systems and base editors"
MiCareo,http://www.mpbio.com/,Burlingame,"1429 Rollins Rd, Burlingame, CA 94010, USA",Unknown,Rare Cell Analysis
MicroRite,http://www.microrite.com/,San Jose,"5019 New Trier Ave, San Jose, CA 95136, USA",Unknown,Consulting & Training
MicuRx Pharmaceuticals,http://www.micurx.com/,Foster City,"950 Tower Ln Suite 390, Foster City, CA 94404, USA",Unknown,Antibiotics
Miist Therapeutics,http://scribetx.com/,Alameda,"1150 Marina Village Pkwy, Alameda, CA 94501, USA",Unknown,Inhalable Therapies
Milagen,https://kyvernatx.com/,Emeryville,"5980 Horton St Suite 550, Emeryville, CA 94608, USA",Unknown,"Tissue Analysis, Cancer Detection"
MindRhythm,,Cupertino,,,Headset for Stroke Triage
Mindstate Design Labs,https://www.mindstate.design/,South San Francisco,"611 Gateway Blvd Ste 120, South San Francisco, CA 94080, USA",Unknown,Psychedelics
Minerva Surgical,https://www.minervasurgical.com/,Santa Clara,"4255 Burton Dr, Santa Clara, CA 95054, USA",Unknown,Endometrial Ablation System
Minutia,,Oakland,"2630 Bancroft Way, Berkeley, CA 94704, USA",Pre-clinical/Startup,Cell Therapy - Diabetes
Miraomics,https://www.newomics.com/,Berkeley,"2612 Eighth St, Berkeley, CA 94710, USA",Unknown,Bioinformatics Service
Mirum Pharmaceuticals,,Foster City,"989 E Hillsdale Blvd #300, Foster City, San Mateo, CA 94404, USA",Unknown,Small Molecules
Mirvie,https://mirvie.com/,South San Francisco,"651 Gateway Blvd Suite 1200, South San Francisco, CA 94080, USA",Unknown,RNA Platform for Pregnancy Issues
Mission Bio,http://missionbio.com/,South San Francisco,"300 Utah Ave Suite 210, South San Francisco, CA 94080, USA",Unknown,Single-cell nucleic acid characterization
Mithrl,http://www.sutrobio.com/,San Francisco,"111 Oyster Point Blvd, South San Francisco, CA 94080, USA",Unknown,NGS Data Software
Mitrix bio,https://vortexbiosciences.com/,Pleasanton,"5627 Stoneridge Dr #312, Pleasanton, CA 94588, USA",Unknown,Bioreactor-grown Mitochondria
Mizuho OSI,http://www.mizuhosi.com/,Union City,"30031 Ahern Ave, Union City, CA 94587, USA",Unknown,Surgical / hospital tables
Montara Therapeutics,https://www.terremotobio.com/,San Francisco,"230 E Grand Ave. #200, South San Francisco, CA 94080, USA",Pre-clinical/Startup,Duel Composition Brain-Targeting Drugs
Moon Surgical,https://www.sutterhealth.org/find-provider/dr-edward-moon-1046235418,San Carlos,"301 Industrial Rd Level 1, San Carlos, CA 94070, USA",Unknown,Robotic Surgery System
Moonwalk Biosciences,http://moonwalk.bio/,South San Francisco,"2 Tower Pl 17th Floor, South San Francisco, CA 94080, USA",Unknown,Epigenetic discovery and editing platform
Motric Bio,http://www.aditumbio.com/,Oakland,"1111 Broadway #1300, Oakland, CA 94607, USA",Unknown,Small Molecule
Mountain View Pharmaceuticals,https://www.mvpharm.com/,San Carlos,"3475 Edison Way # S, Menlo Park, CA 94025, USA",Pre-clinical/Startup,Drug Delivery
Moximed,http://www.moximed.com/about/contact-us/,Fremont,"46602 Landing Pkwy, Fremont, CA 94538, USA",Pre-clinical/Startup,Joint treatment
Multiply Labs,https://www.multiplylabs.com/,San Francisco,"1426 Minnesota St, San Francisco, CA 94107, USA",Pre-clinical/Startup,Robotics for Cell Therapy Manufacturing
"Multispan, Inc.",http://multispaninc.com/,Hayward,"26219 Eden Landing Rd, Hayward, CA 94545, USA",Tools/Services/CDMO,"GPCR cell lines, assays and screening"
Multitude Therapeutics,https://latitudefoodallergycare.com/location/redwood-city,Redwood City,"570 Price Ave Suite 400, Redwood City, CA 94063, USA",Unknown,"Antibody Discovery Arrays, ADCs"
MuriGenics,https://www.murigenics.com/,Vallejo,"941 Railroad Ave, Vallejo, CA 94592, USA",Tools/Services/CDMO,In-vivo and in-vitro contract drug discovery and development services
MyOme,http://myome.com/,Palo Alto,"535 Middlefield Rd suite 170, Menlo Park, CA 94025, USA",Unknown,Genomic Analysis
Myer Research,http://mjmlaw.com/,Napa,"1835 1st St, Napa, CA 94559, USA",Tools/Services/CDMO,"In vivo, in vitro and veterinary clinical assays"
Myka Labs,http://www.mbcbiolabs.com/,San Francisco,"953 Indiana St, San Francisco, CA 94107, USA",Unknown,AI-based integrated solutions for interventional oncology
N-Power Medicine,https://www.raleys.com/stores/nob-hill-foods-redwood-shores-redwood-city-california/,Redwood City,"270 Redwood Shores Pkwy, Redwood City, CA 94065, USA",Pre-clinical/Startup,Clinical research and drug development platform for oncology
N1 Life,,Milpitas,,,Drug Delivery Innovation
NAVAN Technologies,http://navanbio.com/,San Carlos,"733 Industrial Rd, San Carlos, CA 94070, USA",Unknown,Cellular Transfection Technology
NEOK Bio,http://peak-bio.com/,Palo Alto,"3350 W Bayshore Rd, Palo Alto, CA 94303, USA",Pre-clinical/Startup,Novel antibody drug conjugates (ADCs) for improving outcomes for cancer patients
NGGT,,Walnut Creek,"1945 Arbol Grande, Walnut Creek, CA 94595, USA",Unknown,Gene Therapies
NGM Biopharmaceuticals,http://missionbio.com/,South San Francisco,"300 Utah Ave Suite 210, South San Francisco, CA 94080, USA",Unknown,Type 2 Diabetes
NVIGEN,http://www.nvigen.com/,Campbell,"1875 S Winchester Blvd Suite 203, Campbell, CA 95008, USA",Unknown,Nanoparticle Delivery for Imaging
Nalo Therapeutics,http://www.noratherapeutics.com/,Palo Alto,"530 Lytton Ave, Palo Alto, CA 94301, USA",Unknown,Small Molecules
Nanomix,https://nanomixdx.com/,Emeryville,"2121 Williams St, San Leandro, CA 94577, USA",Unknown,Automated POC diagnostic system
Nanosyn,https://www.nanosyn.com/,Santa Clara,"3100 Central Expy, Santa Clara, CA 95051, USA",Pre-clinical/Startup,"Medicinal chemistry, drug screening"
Nanotein,https://www.nanotein.com,Berkeley,"2950 San Pablo Ave, Berkeley, CA 94702",Pre-clinical/Startup,NanoSpark™ platform develops engineered protein activators improving manufacturing of cell therapies like CAR-T.
Natera,http://www.natera.com/,San Carlos,"201 Industrial Rd, San Carlos, CA 94070, USA",Unknown,Prenatal Testing
Nautilus Biotechnology,https://www.nautilus.bio/,San Carlos,"835 Industrial Rd, San Carlos, CA 94070, USA",Unknown,"High-throughput, low-cost platform for analyzing and quantifying the human proteome"
Navire Pharma,http://www.vir.bio/,San Francisco,"1800 Owens St, San Francisco, CA 94158, USA",Unknown,Small Molecules Targeting SHP2
Nebula Genomics,http://www.enablebiosciences.com/,San Francisco,"510 Myrtle Ave # 101, South San Francisco, CA 94080, USA",Unknown,"Consumer Sequencing, Blockchain, Selling Personal Data, George Church, etc"
Nektar Therapeutics,https://www.nektar.com,San Francisco,"455 Mission Bay Boulevard South, San Francisco, CA 94158",Clinical-Stage Biotech,Polymer conjugate technology to modify biologics (PEGylation). Protein engineering adjacent.
Neodyne Biosciences,https://www.embracescartherapy.com/,Fremont,"47801 Fremont Blvd, Fremont, CA 94538, USA",Pre-clinical/Startup,Scar Therapy
Neopeutics,http://neopeutics.com/contact.php,South San Francisco,"400 Oyster Point Blvd, South San Francisco, CA 94080, USA",Tools/Services/CDMO,Drug discovery contract research
NeuCyte,https://www.neucyte.com/,Mountain View,"319 N Bernardo Ave, Mountain View, CA 94043, USA",Pre-clinical/Startup,iPSC platform for drug discovery
NeuTherX,http://www.nodexus.com/,San Jose,"2130 Gold St #100, San Jose, CA 95002, USA",Unknown,Organoid Cultivation
NeuralInk,,Fremont,"7400 Paseo Padre Pkwy, Fremont, CA 94555, USA",Unknown,Neural Implants
NeuroPace,http://www.neuropace.com/,Mountain View,"455 N Bernardo Ave, Mountain View, CA 94043, USA",Pre-clinical/Startup,Implantable Neurological Treatments
NeuroQore,https://www.altoneuroscience.com/,Mountain View,"650 Castro St #450, Mountain View, CA 94041, USA",Unknown,Transcranial magnetic stimulation
Neurocentria,http://www.neurocentria.com/,Walnut Creek,"200 Pringle Ave, Walnut Creek, CA 94596, USA",Unknown,Small molecule for neurological disorders
Neuron23,https://neuron23.com/,South San Francisco,"343 Oyster Point Blvd suite 120, South San Francisco, CA 94080, USA",Pre-clinical/Startup,AI-drug discovery
